ParentCompany,ParentorChild,Brands,DigitalIQ,MinDigitalIQ,MaxDigitalIQ,AvgDigitalIQ,Year,Range
Coty Inc.,Parent,Coty Inc.,101,49,129,101,2015,79
Coty Inc.,,Vera Wang Fragrances,49,,,,2015,
Coty Inc.,,New York Color,72,,,,2015,
Coty Inc.,,Marc Jacobs Fragrance,90,,,,2015,
Coty Inc.,,Rimmel London,99,,,,2015,
Coty Inc.,,Calvin Klein Fragrances,106,,,,2015,
Coty Inc.,,Philosophy,117,,,,2015,
Coty Inc.,,OPI,127,,,,2015,
Coty Inc.,,Sally Hansen,129,,,,2015,
Kendo,Parent,Kendo,93,80,111,93,2015,31
Kendo,,Ole Henriksen,80,,,,2015,
Kendo,,Bite Beauty,84,,,,2015,
Kendo,,Formula X,92,,,,2015,
Kendo,,Marc Jacobs Beauty,99,,,,2015,
Kendo,,Kat Von D,111,,,,2015,
L' Oreal Group,Parent,L' Oreal Group,119,74,145,119,2015,73
L' Oreal Group,,Viktor & Rolf,74,,,,2015,
L' Oreal Group,,Dermablend,100,,,,2015,
L' Oreal Group,,Ralph Lauren Fragrances,100,,,,2015,
L' Oreal Group,,La Roche-Posay,101,,,,2015,
L' Oreal Group,,YSL Beauty,102,,,,2015,
L' Oreal Group,,Skinceuticals,103,,,,2015,
L' Oreal Group,,Vichy,106,,,,2015,
L' Oreal Group,,Clarisonic,110,,,,2015,
L' Oreal Group,,Garnier,111,,,,2015,
L' Oreal Group,,Giorgio Armani Beauty,115,,,,2015,
L' Oreal Group,,NYX,121,,,,2015,
L' Oreal Group,,Essie,121,,,,2015,
L' Oreal Group,,Kiehl's,134,,,,2015,
L' Oreal Group,,Lancôme,140,,,,2015,
L' Oreal Group,,Maybelline New York,141,,,,2015,
L' Oreal Group,,L'Oréal Paris,141,,,,2015,
L' Oreal Group,,Urban Decay,145,,,,2015,
LVMH,Parent,LVMH,115,78,138,115,2015,63
LVMH,,Guerlain,78,,,,2015,
LVMH,,Fresh,104,,,,2015,
LVMH,,Make Up For Ever,113,,,,2015,
LVMH,,Dior,120,,,,2015,
LVMH,,Benefit Cosmetics,138,,,,2015,
Procter & Gamble,Parent,Procter & Gamble,106,73,131,106,2015,60
Procter & Gamble,,Lacoste,73,,,,2015,
Procter & Gamble,,Hugo Boss,81,,,,2015,
Procter & Gamble,,SK-II,100,,,,2015,
Procter & Gamble,,Gucci,102,,,,2015,
Procter & Gamble,,Dolce & Gabbana,106,,,,2015,
Procter & Gamble,,Olay,130,,,,2015,
Procter & Gamble,,CoverGirl,131,,,,2015,
Shiseido Co.,Parent,Shiseido Co.,94,50,128,94,2015,80
Shiseido Co.,,Jean Paul Gaultier,50,,,,2015,
Shiseido Co.,,Shiseido,113,,,,2015,
Shiseido Co.,,NARS Cosmetics,120,,,,2015,
Shiseido Co.,,bareMinerals,128,,,,2015,
The Estee Lauder Companies,Parent,The Estee Lauder Companies,109,72,135,109,2015,81
The Estee Lauder Companies,,Donna Karan,72,,,,2015,
The Estee Lauder Companies,,Michael Kors,96,,,,2015,
The Estee Lauder Companies,,La Mer,101,,,,2015,
The Estee Lauder Companies,,Jo Malone,102,,,,2015,
The Estee Lauder Companies,,Aveda,113,,,,2015,
The Estee Lauder Companies,,Origins,119,,,,2015,
The Estee Lauder Companies,,Smashbox Cosmetics,128,,,,2015,
The Estee Lauder Companies,,Bobbi Brown,130,,,,2015,
The Estee Lauder Companies,,Estée Lauder,132,,,,2015,
The Estee Lauder Companies,,Clinique,135,,,,2015,
The Estee Lauder Companies,,MAC Cosmetics,135,,,,2015,
Unilever,Parent,Unilever,102,75,120,102,2015,47
Unilever,,Pond's,75,,,,2015,
Unilever,,Dermalogica,103,,,,2015,
Unilever,,Simple,105,,,,2015,
Unilever,,Murad,110,,,,2015,
Unilever,,Dove,120,,,,2015,
