ParentCompany,ParentorChild,Brands,DigitalIQ,MinDigitalIQ,MaxDigitalIQ,AvgDigitalIQ,Range
Coty,Parent,Coty,,26,113,77.333,87
Coty,Child,Calvin Klein Fragrance,71,,,,
Coty,Child,Davidoff,75,,,,
Coty,Child,Kylie Minogue Parfums,26,,,,
Coty,Child,Marc Jacobs Fragrance,70,,,,
Coty,Child,Rimmel London,113,,,,
Coty,Child,Sally Hansen,109,,,,
Johnson & Johnson,Parent,Johnson & Johnson,,59,86,76.666,27
Johnson & Johnson,Child,Clean & Clear,85,,,,
Johnson & Johnson,Child,Neutrogena,86,,,,
Johnson & Johnson,Child,RoC,59,,,,
L'Oreal Group,Parent,L'Oreal Group,,42,143,98.125,101
L'Oreal Group,Child,Cacharel Fragrance,42,,,,
L'Oreal Group,Child,Carita,64,,,,
L'Oreal Group,Child,Decleor,96,,,,
L'Oreal Group,Child,Essie,77,,,,
L'Oreal Group,Child,Garnier,98,,,,
L'Oreal Group,Child,Giorgio Armani Beauty,90,,,,
L'Oreal Group,Child,Kiehl's,115,,,,
L'Oreal Group,Child,L'Oreal Paris,110,,,,
L'Oreal Group,Child,La Roche-Posay,76,,,,
L'Oreal Group,Child,Lancome,115,,,,
L'Oreal Group,Child,Maybelline New York,98,,,,
L'Oreal Group,Child,NYX,102,,,,
L'Oreal Group,Child,Ralph Lauren Fragrance,113,,,,
L'Oreal Group,Child,The Body Shop,143,,,,
L'Oreal Group,Child,Vichy,109,,,,
L'Oreal Group,Child,Yves Saint Laurent Beauty,122,,,,
LVMH,Parent,LVMH,,53,142,95.333,89
LVMH,Child,Benefit Cosmetics,142,,,,
LVMH,Child,Dior,91,,,,
LVMH,Child,Parfums Givenchy,53,,,,
Procter & Gamble,Parent,Procter & Gamble,,49,119,99.571,70
Procter & Gamble,Child,Dolce & Gabbana Beauty,99,,,,
Procter & Gamble,Child,Gucci Parfum,109,,,,
Procter & Gamble,Child,Hugo Boss Fragrance,109,,,,
Procter & Gamble,Child,Lacoste Fragrances,101,,,,
Procter & Gamble,Child,Max Factor,111,,,,
Procter & Gamble,Child,Olay,119,,,,
Procter & Gamble,Child,SK-II,49,,,,
The Estee Lauder Companies,Parent,The Estee Lauder Companies,,75,140,124.8,65
The Estee Lauder Companies,Child,Bobbi Brown,138,,,,
The Estee Lauder Companies,Child,Clinique,140,,,,
The Estee Lauder Companies,Child,Donna Karan Fragrances,75,,,,
The Estee Lauder Companies,Child,Estee Lauder,139,,,,
The Estee Lauder Companies,Child,Jo Malone,118,,,,
The Estee Lauder Companies,Child,La Mer,130,,,,
The Estee Lauder Companies,Child,MAC Cosmetics,133,,,,
The Estee Lauder Companies,Child,Origins,128,,,,
The Estee Lauder Companies,Child,Tommy Hilfiger,108,,,,
The Estee Lauder Companies,Child,Aveda,139,,,,
Unilever,Parent,Unilever,,50,112,77.75,62
Unilever,Child,Dove,97,,,,
Unilever,Child,Pond's,52,,,,
Unilever,Child,Simple,112,,,,
Unilever,Child,Vaseline,50,,,,
